com_score,Percentage of negative
112,0.9130434782608695
113,1.0
114,1.0
115,1.0
116,1.0
117,1.0
118,1.0
119,1.0
120,0.92
121,0.9473684210526315
122,1.0
123,0.9629629629629629
124,0.95
125,1.0
126,1.0
127,0.9473684210526315
128,0.9615384615384616
129,1.0
130,0.875
131,0.9166666666666666
132,0.9523809523809523
133,0.8823529411764706
134,0.9545454545454546
135,1.0
136,0.96
137,1.0
138,1.0
139,0.8
140,0.96
141,1.0
142,1.0
143,0.9375
144,1.0
145,0.9523809523809523
146,1.0
147,1.0
148,0.8888888888888888
149,0.9090909090909091
150,1.0
151,1.0
152,1.0
153,1.0
154,1.0
155,1.0
156,0.9333333333333333
157,0.9411764705882353
158,0.8888888888888888
159,0.9166666666666666
160,0.9411764705882353
161,1.0
162,1.0
163,1.0
164,1.0
165,1.0
166,0.9
167,1.0
168,1.0
169,1.0
170,0.8181818181818182
171,1.0
172,1.0
173,1.0
174,1.0
175,1.0
176,1.0
177,1.0
178,1.0
179,0.9375
180,1.0
181,0.8571428571428571
182,1.0
183,1.0
184,1.0
185,1.0
186,1.0
187,1.0
188,0.9230769230769231
189,1.0
190,0.8888888888888888
191,1.0
192,1.0
193,1.0
194,1.0
195,1.0
196,1.0
197,1.0
198,1.0
199,0.75
200,0.9090909090909091
201,1.0
202,1.0
203,1.0
204,0.8333333333333334
205,1.0
206,1.0
207,1.0
208,0.9090909090909091
209,1.0
210,0.9
211,1.0
212,0.875
213,1.0
214,1.0
215,1.0
216,1.0
217,1.0
218,0.875
219,0.8333333333333334
220,1.0
221,0.5714285714285714
222,1.0
223,1.0
224,1.0
225,1.0
226,1.0
227,1.0
228,0.8333333333333334
229,1.0
230,1.0
231,1.0
232,1.0
233,1.0
234,1.0
235,0.875
236,0.5
237,1.0
238,1.0
239,1.0
240,1.0
241,1.0
242,0.75
243,1.0
244,1.0
245,1.0
246,1.0
247,0.8571428571428571
248,1.0
249,0.8
250,1.0
251,1.0
252,1.0
253,0.8
254,1.0
255,0.8
256,1.0
257,1.0
258,1.0
259,1.0
260,1.0
261,1.0
262,1.0
263,1.0
264,1.0
265,1.0
266,0.875
267,0.8571428571428571
268,1.0
269,1.0
270,1.0
271,1.0
272,1.0
273,1.0
274,1.0
275,1.0
276,1.0
277,1.0
278,0.8571428571428571
279,0.75
280,1.0
281,1.0
282,1.0
283,1.0
284,1.0
285,1.0
286,1.0
287,1.0
288,1.0
289,1.0
290,1.0
291,1.0
292,1.0
293,1.0
294,1.0
295,1.0
296,1.0
297,1.0
298,1.0
299,1.0
300,1.0
301,1.0
302,0.8571428571428571
303,1.0
304,1.0
