sub_score,Percentage of positive
793,0.09090909090909091
794,0.125
795,0.06666666666666667
796,0.2222222222222222
797,0.2222222222222222
798,0.05555555555555555
799,0.125
800,0.18181818181818182
801,0.11764705882352941
802,0.18181818181818182
803,0.0
804,0.19047619047619047
805,0.0
806,0.15
807,0.0625
808,0.1111111111111111
809,0.0
810,0.043478260869565216
811,0.1
812,0.08695652173913043
813,0.058823529411764705
814,0.14285714285714285
815,0.0
816,0.058823529411764705
817,0.11764705882352941
818,0.1111111111111111
819,0.07692307692307693
820,0.0625
821,0.26666666666666666
822,0.12121212121212122
823,0.06666666666666667
824,0.15384615384615385
825,0.375
826,0.125
827,0.3125
828,0.18181818181818182
829,0.2
830,0.0
831,0.11764705882352941
832,0.2631578947368421
833,0.16666666666666666
834,0.1111111111111111
835,0.0
836,0.07692307692307693
837,0.125
838,0.0
839,0.0625
840,0.15384615384615385
841,0.2727272727272727
842,0.09523809523809523
843,0.1
844,0.08695652173913043
845,0.375
846,0.0
847,0.043478260869565216
848,0.08333333333333333
849,0.0
850,0.1
851,0.0
852,0.07692307692307693
853,0.125
854,0.0
855,0.0
856,0.18181818181818182
857,0.15384615384615385
858,0.08333333333333333
859,0.14285714285714285
860,0.125
861,0.3181818181818182
862,0.125
863,0.05555555555555555
864,0.2
865,0.0
866,0.0625
867,0.15
868,0.06666666666666667
869,0.3333333333333333
870,0.23076923076923078
871,0.21428571428571427
872,0.2727272727272727
873,0.08695652173913043
874,0.13333333333333333
875,0.08
876,0.05
877,0.06666666666666667
878,0.0
879,0.06666666666666667
880,0.13333333333333333
881,0.1724137931034483
882,0.1388888888888889
883,0.07692307692307693
884,0.07142857142857142
885,0.1111111111111111
886,0.07407407407407407
887,0.17647058823529413
888,0.18181818181818182
889,0.2
890,0.0
891,0.18181818181818182
892,0.0
893,0.0
894,0.0
895,0.13333333333333333
896,0.0
897,0.13333333333333333
898,0.07692307692307693
899,0.0
900,0.13043478260869565
901,0.13043478260869565
902,0.13333333333333333
903,0.08333333333333333
904,0.030303030303030304
905,0.08333333333333333
906,0.15384615384615385
907,0.1
908,0.21428571428571427
909,0.11764705882352941
910,0.1
911,0.0
912,0.0
913,0.08333333333333333
914,0.2
915,0.17391304347826086
916,0.0625
917,0.2
918,0.42857142857142855
919,0.0
920,0.16666666666666666
921,0.3333333333333333
922,0.0
923,0.25
924,0.23076923076923078
925,0.0
926,0.0625
927,0.0
928,0.2
929,0.09523809523809523
930,0.25
931,0.08
932,0.04878048780487805
933,0.2
934,0.14285714285714285
935,0.08333333333333333
936,0.0
937,0.0
938,0.2
939,0.09090909090909091
940,0.4
941,0.0
942,0.0625
943,0.16666666666666666
944,0.08333333333333333
945,0.36363636363636365
946,0.0
947,0.09090909090909091
948,0.0
949,0.058823529411764705
950,0.11764705882352941
951,0.0
952,0.16666666666666666
953,0.07692307692307693
954,0.25
955,0.0
956,0.043478260869565216
957,0.06060606060606061
958,0.14285714285714285
959,0.125
960,0.06666666666666667
961,0.0
962,0.0
963,0.15384615384615385
964,0.2222222222222222
965,0.0
966,0.05263157894736842
967,0.13636363636363635
968,0.08333333333333333
969,0.16666666666666666
970,0.10344827586206896
971,0.16666666666666666
972,0.07692307692307693
973,0.1388888888888889
974,0.1111111111111111
975,0.3333333333333333
976,0.13636363636363635
977,0.0
978,0.0
979,0.09090909090909091
980,0.06666666666666667
981,0.15384615384615385
982,0.125
983,0.15384615384615385
984,0.16666666666666666
985,0.0
986,0.07142857142857142
987,0.13333333333333333
988,0.07142857142857142
989,0.0
990,0.0625
991,0.11764705882352941
992,0.0
993,0.09090909090909091
994,0.0967741935483871
995,0.0
996,0.0
997,0.09090909090909091
998,0.1
999,0.0
1000,0.1111111111111111
1001,0.0
1002,0.17391304347826086
1003,0.0
1004,0.11764705882352941
1005,0.0
1006,0.0
1007,0.16666666666666666
1008,0.25
1009,0.0
1010,0.23529411764705882
1011,0.10526315789473684
1012,0.21052631578947367
1013,0.23076923076923078
1014,0.0625
1015,0.21428571428571427
1016,0.1111111111111111
1017,0.041666666666666664
1018,0.0
1019,0.1
1020,0.0
1021,0.2608695652173913
1022,0.15384615384615385
1023,0.058823529411764705
1024,0.1
1025,0.2727272727272727
1026,0.0
1027,0.07692307692307693
1028,0.2222222222222222
1029,0.25
1030,0.06666666666666667
1031,0.15384615384615385
1032,0.07142857142857142
1033,0.0
1034,0.2
1035,0.09090909090909091
1036,0.08333333333333333
1037,0.125
1038,0.07692307692307693
1039,0.125
1040,0.0
1041,0.17391304347826086
1042,0.0
1043,0.18181818181818182
1044,0.1
1045,0.2
1046,0.07692307692307693
1047,0.2222222222222222
1048,0.125
1049,0.16666666666666666
1050,0.1111111111111111
1051,0.1
1052,0.0
1053,0.125
1054,0.0
1055,0.0
1056,0.1111111111111111
1057,0.2
1058,0.125
1059,0.16666666666666666
1060,0.15789473684210525
1061,0.23076923076923078
1062,0.06666666666666667
1063,0.058823529411764705
1064,0.21428571428571427
1065,0.25
1066,0.18181818181818182
1067,0.19230769230769232
1068,0.0
1069,0.0
1070,0.21428571428571427
1071,0.1111111111111111
1072,0.0
1073,0.1111111111111111
1074,0.1111111111111111
1075,0.14814814814814814
1076,0.23076923076923078
1077,0.125
1078,0.0
1079,0.1
1080,0.125
1081,0.07142857142857142
1082,0.19230769230769232
1083,0.16666666666666666
1084,0.13333333333333333
1085,0.15384615384615385
1086,0.0
1087,0.0
1088,0.0
1089,0.12280701754385964
1090,0.08333333333333333
1091,0.2
1092,0.18181818181818182
1093,0.0
1094,0.11428571428571428
1095,0.0
1096,0.1111111111111111
1097,0.14285714285714285
1098,0.21739130434782608
1099,0.0
1100,0.0
1101,0.36363636363636365
1102,0.07692307692307693
1103,0.0
1104,0.1111111111111111
1105,0.21052631578947367
1106,0.25
1107,0.1
1108,0.0
1109,0.0
1110,0.0625
1111,0.3076923076923077
1112,0.0
1113,0.14285714285714285
1114,0.06666666666666667
1115,0.07142857142857142
1116,0.0
1117,0.125
1118,0.25
1119,0.2222222222222222
1120,0.23076923076923078
1121,0.0
1122,0.0
1123,0.07142857142857142
1124,0.4
1125,0.0
1126,0.0
1127,0.3333333333333333
1128,0.0
1129,0.0
1130,0.2857142857142857
1131,0.125
1132,0.05555555555555555
1133,0.0
1134,0.16666666666666666
1135,0.0
1136,0.07692307692307693
1137,0.2631578947368421
1138,0.16666666666666666
1139,0.14814814814814814
1140,0.07692307692307693
1141,0.25
1142,0.06666666666666667
1143,0.0
1144,0.13043478260869565
1145,0.25
1146,0.0
1147,0.06666666666666667
1148,0.12
1149,0.09090909090909091
1150,0.14285714285714285
1151,0.19047619047619047
1152,0.0
1153,0.125
1154,0.047619047619047616
1155,0.10526315789473684
1156,0.05555555555555555
1157,0.1
1158,0.0625
1159,0.11764705882352941
1160,0.125
1161,0.07692307692307693
1162,0.125
1163,0.0
1164,0.2
1165,0.07692307692307693
1166,0.0
1167,0.09090909090909091
1168,0.0
1169,0.1875
1170,0.25
1171,0.0
1172,0.18181818181818182
1173,0.1875
1174,0.08333333333333333
1175,0.21052631578947367
1176,0.08333333333333333
1177,0.1111111111111111
1178,0.2
1179,0.05555555555555555
1180,0.2222222222222222
1181,0.13043478260869565
1182,0.4
1183,0.0
1184,0.05555555555555555
1185,0.0
1186,0.14285714285714285
1187,0.05
1188,0.1111111111111111
1189,0.4
1190,0.36363636363636365
1191,0.06666666666666667
1192,0.2857142857142857
1193,0.05263157894736842
1194,0.06666666666666667
1195,0.1
1196,0.16666666666666666
1197,0.15384615384615385
1198,0.23076923076923078
1199,0.125
1200,0.14285714285714285
1201,0.12
1202,0.2
1203,0.125
1204,0.0
1205,0.16666666666666666
1206,0.2
1207,0.10526315789473684
1208,0.25
1209,0.1511627906976744
1210,0.2222222222222222
1211,0.0
1212,0.3
1213,0.0
1214,0.07142857142857142
1215,0.0
1216,0.16666666666666666
1217,0.14285714285714285
1218,0.3333333333333333
1219,0.0
1220,0.08695652173913043
1221,0.0
1222,0.13333333333333333
1223,0.0
1224,0.0
1225,0.14285714285714285
1226,0.0
1227,0.2
1228,0.3333333333333333
1229,0.10526315789473684
1230,0.07142857142857142
1231,0.18181818181818182
1232,0.2857142857142857
1233,0.2
1234,0.17647058823529413
1235,0.1111111111111111
1236,0.09523809523809523
1237,0.1
1238,0.14285714285714285
1239,0.25
1240,0.16666666666666666
1241,0.0
1242,0.2
1243,0.0
1244,0.0
1245,0.2222222222222222
1246,0.16666666666666666
1247,0.0
1248,0.0
1249,0.125
1250,0.07142857142857142
1251,0.23076923076923078
1252,0.13333333333333333
1253,0.0
1254,0.2
1255,0.06666666666666667
1256,0.1
1257,0.1111111111111111
1258,0.125
1259,0.0
1260,0.07692307692307693
1261,0.14285714285714285
1262,0.0
1263,0.09523809523809523
1264,0.42857142857142855
1265,0.0
1266,0.0
1267,0.07142857142857142
1268,0.125
1269,0.0
1270,0.14285714285714285
1271,0.0
1272,0.0
1273,0.041666666666666664
1274,0.125
1275,0.0
1276,0.08695652173913043
1277,0.0
1278,0.24
1279,0.0
1280,0.15789473684210525
1281,0.3333333333333333
1282,0.14285714285714285
1283,0.2857142857142857
1284,0.18181818181818182
1285,0.1
1286,0.125
1287,0.0
1288,0.058823529411764705
1289,0.0
1290,0.10526315789473684
1291,0.0
1292,0.125
1294,0.0
1295,0.21428571428571427
1296,0.2222222222222222
1297,0.1
1298,0.125
1299,0.0
1300,0.05555555555555555
1301,0.17647058823529413
1302,0.21428571428571427
1303,0.125
1304,0.2
1305,0.1
1306,0.2
1307,0.21428571428571427
1308,0.14285714285714285
1309,0.09523809523809523
1310,0.0
1311,0.0625
1312,0.23076923076923078
1313,0.05555555555555555
1314,0.3333333333333333
1315,0.0
1316,0.15384615384615385
1317,0.0
1318,0.14285714285714285
1319,0.07142857142857142
1320,0.0625
1321,0.0
1322,0.125
1323,0.0
1324,0.13559322033898305
1325,0.0
1326,0.0
1327,0.0
1328,0.0625
1329,0.09090909090909091
1330,0.07692307692307693
1331,0.22727272727272727
